technique,summary,success,error,latency,summary_length,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,news_id,original_length
Enhanced TextRank,Participação das redes é voluntária e ocorre em duas etapas. Interessados têm até sexta-feira (13) para se inscrever no programa que oferece apoio financeiro para o fortalecimento da matemática nas escolas !,True,,0.07159996032714844,207,0.6857142857142857,0.34285714285714286,0.45714285714285724,0.4117647058823529,0.2028985507246377,0.27184466019417475,0.4,0.2,0.26666666666666666,doc_11_39_syn_extract_first_6344,426
Enhanced TextRank,"Conjunto de participantes aumentou 3,4% em relação ao final de 2024, totalizando 92.818. Destaque para crescimento de consultores de valores mobiliários **Número recorde de regulados pela Comissão de Valores Mobiliários (CVM)! ** Foi assim que o ano de 2025 terminou, com um **aumento de 3,4%** no conjunto de participantes em relação ao final de 2024, totalizando **92.818**.",True,,0.025056123733520508,376,0.6818181818181818,0.703125,0.6923076923076923,0.4,0.4126984126984127,0.40625,0.3787878787878788,0.390625,0.3846153846153846,doc_09_01_syn_short_9779,1091
Enhanced TextRank,"O MinC reforça a recomendação para que todos os candidatos consultem antecipadamente sua regularidade jurídica, fiscal e tributária. Estar em débito com a União impede o recebimento de recursos públicos. É fundamental resolver eventuais pendências nos seguintes sistemas: • Cadastro Informativo de Créditos Não Quitados do Setor Público Federal (Cadin); • Certidão Negativa de Débitos Relativos a Créditos Tributários Federais e Dívida Ativa da União (CND); • Certificado de Regularidade do FGTS; • Consulta de Transferência (Constransf); • Sistema de Apoio às Leis de Incentivo à Cultura (Salic); • Cadastro de Entidades Privadas Sem Fins Lucrativos Impedidas (Cepim); • Cadastro Nacional de Empresas Inidôneas e Suspensas (Ceis); • Sistema de Cadastramento Unificado de Fornecedores (Sicaf).",True,,0.02633976936340332,793,0.3951612903225806,0.765625,0.5212765957446809,0.21138211382113822,0.4126984126984127,0.27956989247311825,0.33064516129032256,0.640625,0.43617021276595747,doc_07_12_syn_extract_middle_7735,809
Enhanced TextRank,"“O Instituto Butantan nasceu da necessidade de proteger a população. Hoje, com os investimentos do governo do presidente Lula, ele se projeta para o futuro como um dos pilares da produção nacional de vacinas e da segurança sanitária do país”, disse o vice-presidente.",True,,0.025762557983398438,267,0.7551020408163265,0.8409090909090909,0.7956989247311828,0.6666666666666666,0.7441860465116279,0.7032967032967034,0.6938775510204082,0.7727272727272727,0.7311827956989247,doc_17_14_syn_extract_middle_5272,267
Enhanced TextRank,"A ferramenta busca orientar as pessoas sobre as medidas de proteção a serem tomadas. Dessa forma, os alertas terão informações sobre o tipo de risco que está prestes a acontecer e instruções práticas. As definições de conteúdo e do momento de envio dos alertas são de responsabilidade dos órgãos de proteção e defesa civil locais e a ação é operacionalizada por meio da Interface de Divulgação de Alertas Públicos (Idap).",True,,0.025913476943969727,421,0.7195121951219512,0.7468354430379747,0.732919254658385,0.5308641975308642,0.5512820512820513,0.5408805031446542,0.5853658536585366,0.6075949367088608,0.5962732919254657,doc_19_05_syn_extract_middle_6325,421
Enhanced TextRank,"Agência apoiou na identificação de envolvidos no projeto de produção de armas por meio de impressoras 3D A Operação *Shadowgun* foi deflagrada, com o cumprimento de mandados de prisão e de busca e apreensão contra alvos em doze estados, nesta quinta-feira, 12 de março. A operação contou com a colaboração da ABIN, para aprofundar a compreensão sobre a ameaça representada por armas produzidas por meio de impressoras 3D, especialmente no contexto de grupos extremistas violentos, bem como para identificar os brasileiros envolvidos no desenvolvimento, financiamento e promoção da arma conhecida como Urutau. A Urutau é arma híbrida de funcionamento semiautomático ou automático que representou avanço significativo sobre projetos anteriores de armas 3D, eliminando a necessidade de soldagem e utilizando apenas componentes não controlados.",True,,0.028801441192626953,840,0.36428571428571427,0.6219512195121951,0.4594594594594595,0.15827338129496402,0.2716049382716049,0.19999999999999996,0.19285714285714287,0.32926829268292684,0.24324324324324323,doc_19_38,1958
Enhanced TextRank,"O evento, que contou com a participação de representantes de 18 entidades nacionais, estaduais e internacionais de 12 estados da federação, avançou significativamente na identificação de formas de executar sete das principais ações do PAN que estavam com baixa implementação. Entre os resultados alcançados estão a identificação de formas para alcançar os objetivos previstos no PAN; a definição de planos operacionais para execução dessas estratégias em âmbito estadual; e a criação e consolidação de uma rede de colaboração entre as OEMAs participantes.",True,,0.027527332305908203,555,0.7142857142857143,0.6730769230769231,0.6930693069306932,0.4639175257731959,0.4368932038834951,0.45,0.5816326530612245,0.5480769230769231,0.5643564356435645,doc_15_07_syn_extract_middle_7046,557
Enhanced TextRank,"Com foco em teranósticos, o público-alvo da competição são os estudantes de pós-graduação, e contará com doutoranda do CDTN/CNEN no comitê organizador. Estão abertas as inscrições para as **Olímpiadas Nucleares da América Latina - Hackapower LATAM 2026**, competição acadêmica internacional que tem como objetivo estimular a inovação, o desenvolvimento de habilidades de gestão em projetos complexos e o fortalecimento de redes de colaboração no setor nuclear. A iniciativa também busca promover e divulgar a ciência e a tecnologia em alinhamento com os Objetivos de Desenvolvimento Sustentável (ODS) da **Organização das Nações Unidas (ONU)**. O tema central da edição de 2026 será o ***radioteranóstico***, abordagem da medicina nuclear que integra diagnóstico e terapia por meio de radiofármacos direcionados ao mesmo alvo biológico, permitindo identificar, tratar e monitorar doenças de forma de forma personalizada.",True,,0.02566981315612793,920,0.5875,0.7768595041322314,0.6690391459074733,0.4276729559748428,0.5666666666666667,0.48745519713261654,0.4625,0.6115702479338843,0.5266903914590747,doc_11_13_syn_short_1964,1445
Enhanced TextRank,"Novo conteúdo no aplicativo transforma a norma internacional de saúde e segurança em aprendizado prático, acessível e gratuito !",True,,0.024810791015625,128,0.9130434782608695,0.3333333333333333,0.48837209302325574,0.6818181818181818,0.24193548387096775,0.35714285714285715,0.8260869565217391,0.30158730158730157,0.4418604651162791,doc_17_07_syn_extract_first_1009,375
Enhanced TextRank,Voo inaugural marca fase de testes e validações técnicas; Ministério vem preparando sistema aéreo brasileiro para inclusão da nova tecnologia ! Embraer faz primeiro voo de aeronave elétrica de decolagem e pouso vertical,True,,0.026694059371948242,219,0.868421052631579,0.532258064516129,0.66,0.6486486486486487,0.39344262295081966,0.4897959183673469,0.39473684210526316,0.24193548387096775,0.3,doc_05_06_syn_extract_first_1525,495
Enhanced TextRank,! Foto_Diogo_Zacarias.png,True,,0.027568340301513672,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,doc_15_10_syn_extract_first_7797,273
Enhanced TextRank,"Iniciativa do Governo do Brasil promove o diálogo entre professores, mestres e jovens na construção de uma educação antirracista !",True,,0.027062416076660156,130,0.9090909090909091,0.28169014084507044,0.43010752688172044,0.6666666666666666,0.2,0.30769230769230765,0.7272727272727273,0.22535211267605634,0.34408602150537637,doc_11_03_syn_extract_first_5853,405
