id,title,category,original_length,reference_summary,reference_length,latency,success,error
doc_11_30,"Seleção para o Clube de Pesquisadores Mirins acontece até esta sexta-feira,  no Campus de Pesquisa do Museu Goeldi",Educação,3613,"O Museu Paraense Emílio Goeldi está realizando o processo seletivo para o Clube de Pesquisadores Mirins até 06/03, no Campus de Pesquisa, em Belém. Mais de 300 candidatos disputam as 50 vagas desta edição, sendo metade reservada para estudantes da rede pública. O processo inclui avaliações individuais e dinâmicas em grupo sobre temas como ciência na Amazônia e história do Museu. O resultado final será divulgado em 16/03 e as aulas começarão nos dias 24 e 25 de março, no Parque Zoobotânico. A iniciativa, em atividade desde 1997, visa estimular o interesse de crianças e adolescentes pela ciência.",601,2.9112181663513184,True,
doc_07_00_syn_extract_middle_6529,Heróis da Pátria são reconhecidos durante 7a edição do Rede Capoeira em Cachoeira (BA),"Cultura, Artes e Patrimônio",434,"O evento de abertura contou com a participação do jornalista e poeta James Martins, que leu o manifesto do Rede Capoeira. O manifesto destacou a capoeira como uma expressão multidisciplinar e coletiva, enfatizando a roda como um espaço sem hierarquias, onde todos se veem e reconhecem. Martins afirmou que a capoeira leva o Brasil ao mundo e exige que o país reconheça seus próprios heróis populares.",400,1.5375385284423828,True,
doc_13_07_syn_extract_middle_5345,Justiça suspende decisão do TCE-MG e garante teto nacional dos exames da CNH do Brasil,Economia e Finanças,189,"O Governo Federal estabeleceu uma nova norma que padroniza a cobrança de taxas relacionadas à carteira de motorista em todo o Brasil. Anteriormente, os valores variavam consideravelmente entre os estados, tornando-se um dos principais custos que oneravam os serviços vinculados à habilitação. A nova regulamentação visa simplificar e uniformizar esses procedimentos, proporcionando maior transparência e previsibilidade para os cidadãos.",437,1.69209623336792,True,
doc_03_00,Programa Abdias Nascimento: CAPES publica edital de renovação de projetos para 2026,Educação,3265,"O Edital nº 16/2023 da CAPES divulgou o resultado da renovação de 33 projetos no âmbito do Programa CAPES/Abdias Nascimento, voltado ao fortalecimento, internacionalização e estruturação da pesquisa e pós-graduação. As propostas selecionadas abordam temas centrais para a justiça social, como o enfrentamento ao racismo, capacitismo e análise sobre a precarização da saúde de pessoas com deficiência. O programa, fruto de uma parceria entre a SECAI/MEC e a CAPES, busca ampliar o acesso e a permanência de estudantes pretos, pardos, indígenas, quilombolas, do campo e pessoas com deficiência ou altas habilidades, promovendo a excelência acadêmica por meio do financiamento de pesquisas em âmbito nacional e internacional.",722,2.5402634143829346,True,
doc_13_05_syn_extract_middle_7232,"Setor aquaviário brasileiro movimentou, em 2025, 1,4 bi de toneladas",Economia e Finanças,304,"O relatório governamental destaca o desempenho do setor portuário brasileiro no ano de 2025. A movimentação de carga geral solta atingiu 65,8 milhões de toneladas, um aumento de 0,8% em relação ao ano anterior. Os granéis sólidos registraram um crescimento de 6,3%, movimentando 839,7 milhões de toneladas. Já os granéis líquidos alcançaram 333 milhões de toneladas, um incremento de 6,1% na comparação com 2024. Esses dados refletem a evolução e a importância do transporte marítimo na economia brasileira.",507,3.3241615295410156,True,
doc_05_23,MCTI lança programa Mais Ciência na Escola no Acre,"Ciência, Tecnologia e Inovação",4408,"O Ministério da Ciência, Tecnologia e Inovação (MCTI) anunciou um investimento de R$ 1 milhão no programa ""Mais Ciência na Escola"" no estado do Acre. O programa, já em execução pelo Instituto Federal do Acre (Ifac), visa promover o letramento digital e a educação científica por meio da implementação de laboratórios ""Mão na Massa"" em escolas públicas. A iniciativa também oferece planos de atividades, formação de professores e bolsas para educadores e alunos. Além disso, o MCTI informou que o projeto ""O Futuro da Programação"", da Universidade Federal do Acre (Ufac), também começará a ser executado em breve, apoiando o desenvolvimento de habilidades de programação e soluções digitais com os estudantes da capital Rio Branco.",730,2.4649720191955566,True,
doc_15_47_syn_short_9423,Ministério da Saúde e Ipea debatem Índice de Vulnerabilidade Social e Ambiental para o SUS,Saúde,743,"O Ministério da Saúde e o IPEA estão desenvolvendo uma nova estratégia para orientar decisões e financiar a atenção primária no Sistema Único de Saúde (SUS). A nova abordagem levará em conta não apenas fatores de vulnerabilidade social, mas também aspectos ambientais, buscando atender às diferentes necessidades intramunicipais. Atualmente, o Índice de Vulnerabilidade Social (IVS) já é utilizado no cofinanciamento federal da atenção primária, e a nova estratégia visa agregar a dimensão ambiental a esse indicador, de modo a aprimorar a alocação de recursos e a atenção à saúde da população.",594,2.060574531555176,True,
doc_13_30_syn_short_8434,Governo do Brasil anuncia hub internacional no Galeão e reforça papel do turismo na geração de empregos,Turismo,1209,"O governo brasileiro anunciou a criação de um hub internacional da companhia aérea Gol no Aeroporto Internacional Tom Jobim (Galeão) no Rio de Janeiro. A iniciativa amplia a conectividade aérea do país, incluindo uma nova rota direta entre o Rio de Janeiro e Nova York a partir de julho de 2026. Essa medida reforça o papel do Brasil como destino turístico global, impulsionando o fluxo de visitantes estrangeiros, gerando empregos e movimentando a economia local. O presidente Lula destacou a importância estratégica do Rio de Janeiro para o turismo internacional.",565,1.8167064189910889,True,
doc_15_45_syn_extract_first_9856,"Com mais de 90% do território suscetível à desertificação, Pernambuco recebe seminários sobre o tema a partir de 23 de março",Meio Ambiente e Sustentabilidade,504,"O governo de Pernambuco realizará seminários sobre desertificação nos municípios de Salgueiro e Caruaru, a partir de 23 de março. Com mais de 90% do território do estado suscetível a esse fenômeno, os encontros reunirão especialistas e instituições para atualizar as estratégias ambientais voltadas ao semiárido pernambucano. O objetivo é discutir ações e políticas públicas que visem mitigar os impactos da desertificação, uma vez que essa é uma realidade preocupante na região.",479,2.156686305999756,True,
doc_11_39_syn_extract_first_6344,Últimos dias para aderir ao Compromisso Nacional Toda Matemática,Educação,426,"O Ministério da Educação lançou o programa ""Compromisso Nacional Toda Matemática"", que oferece apoio financeiro para fortalecer o ensino de matemática nas escolas. A participação é voluntária e ocorre em duas etapas, com inscrições abertas até 13 de março. O programa visa melhorar a qualidade do ensino de matemática, com foco na formação de professores e no desenvolvimento de recursos didáticos.",398,1.6315059661865234,True,
