id,title,category,subcategory,original_length,reference_summary,reference_length,latency,success,error
35ba53e208af663286aa8409b6508c38,INSS cria coordenação inédita e pode arrecadar até R$ 14 bilhões com multas a cartórios,Políticas Públicas e Governança,Gestão Pública,1685,"O INSS criou uma nova coordenação para fiscalizar e aplicar multas administrativas a cartórios que deixam de informar registros civis que impactam a Previdência Social. Nos últimos 5 anos, o INSS lavrou aproximadamente 4,4 milhões de autos de infração contra cartórios, e agora irá estruturar a cobrança dessas multas, que podem gerar uma arrecadação potencial de até R$ 14 bilhões. Essa medida fortalece a governança, amplia a transparência e contribui para a sustentabilidade do sistema previdenciário.",504,3.729118585586548,True,
3644236efea439527ee83ebb5b8ec299,"Obras da restauração da Igreja de São Benedito, em Antonina (PR), são iniciadas","Cultura, Artes e Patrimônio",Preservação do Patrimônio,2234,"O Iphan investiu mais de R$ 2,5 milhões via Novo PAC para restaurar a Igreja de São Benedito em Antonina (PR), cujo centro histórico é tombado pelo instituto desde 2012. As obras, que incluem a requalificação do entorno da igreja, começaram em 27/02 e têm previsão de término em outubro deste ano, seguindo as diretrizes técnicas e de preservação exigidas para bens tombados.",375,1.9579429626464844,True,
df570c78443a519e966331347f1bf530,“Governo do Brasil na Rua”: veja os atendimentos e serviços gratuitos que serão levados ao Sol Nascente (DF) neste sábado (13),Saúde,Campanhas de Saúde Pública,5634,"O Governo do Brasil realizará uma ação no sábado (13) no Sol Nascente, DF, oferecendo uma ampla gama de serviços gratuitos à comunidade, incluindo atendimentos na área de saúde, reformas e construção, previdência social, cuidados com animais de estimação, apoio ao empreendedorismo, oportunidades de renda, cidadania, educação e formação, além de atividades culturais. A iniciativa visa levar diretamente à população diversos serviços e orientações do governo federal, abrangendo temas como saúde, emprego, direitos, cultura e bem-estar dos cidadãos.",550,2.866297483444214,True,
6f4430865ab0b9a24ae02f159449b0fc,MIDR impulsiona ações do Pacto Nacional Brasil Contra o Feminicídio,Justiça e Direitos Humanos,Políticas Antidiscriminatórias,6499,"O Ministério da Integração e do Desenvolvimento Regional (MIDR) reafirmou seu compromisso com o Pacto Nacional Brasil Contra o Feminicídio, assinando um ofício que estabelece a equidade de gênero como diretriz para suas políticas públicas. O ministro Waldez Góes e a ministra Márcia Lopes anunciaram medidas concretas para transformar a cultura institucional, como a contratação de empresas com mulheres vítimas de violência, a adesão à Rede Equidade do Senado Federal e a elaboração de um protocolo de prevenção da violência contra as mulheres. A iniciativa representa um compromisso da gestão com a proteção das mulheres e o enfrentamento do feminicídio no Brasil.",666,3.1410322189331055,True,
9dba4ecb8873072832c4e2865b4bb01d,Ministro Paulo Teixeira participa do Encontro Interestadual de Planejamento em prol da Agricultura Familiar,"Agricultura, Pecuária e Abastecimento",Agricultura Familiar,2775,"O ministro do Desenvolvimento Agrário e Agricultura Familiar, Paulo Teixeira, participou de um encontro sobre novas políticas públicas de comercialização da agricultura familiar. Ele destacou a importância da agricultura familiar na alimentação da população brasileira, com mais de mil produtos no cardápio, e a necessidade de fortalecer a comercialização desses produtos para melhorar a saúde pública, com a redução do consumo de ultraprocessados. O ministro também citou diversos programas e iniciativas do governo para apoiar a agricultura familiar, como o Desenrola Rural, o Pronaf e o Programa Nacional de Alimentação Escolar.",631,2.3886771202087402,True,
1ccfc938086e777f6c30ca61c7d62a47,"Ministério do Turismo marca presença na maior feira do setor em Portugal, que tem o Brasil como Destino Internacional Convidado",Turismo,Promoção Turística,3916,"O Ministério do Turismo do Brasil marcou presença na maior feira de turismo de Portugal, a BTL 2026, como Destino Internacional Convidado. O estande brasileiro, com 24 estados coexpositores, apresentou a diversidade natural, cultural e gastronômica do país, incluindo conteúdo em realidade virtual. A secretária-executiva do Ministério, Fernanda Norat, representando o ministro Gustavo Feliciano, também se reuniu com o embaixador do Brasil em Portugal para discutir parcerias estratégicas e o aumento do fluxo de turistas entre os dois países, que compartilham fortes laços culturais, históricos e econômicos.",610,2.4749224185943604,True,
congresso-nacional-aprova-acordo-entre-mercosul-e-uniao-europeia_897345,Congresso Nacional aprova acordo entre Mercosul e União Europeia,Economia e Finanças,Investimentos e Comércio Exterior,1788,"O Congresso Nacional do Brasil promulgou um acordo provisório de comércio entre o Mercosul e a União Europeia, após mais de duas décadas de negociações. O acordo estabelece a redução de tarifas para a maioria dos produtos importados entre os dois blocos, que juntos representam um mercado de 718 milhões de pessoas e um produto interno bruto de R$ 115 trilhões. Apesar de algumas proteções mantidas pela União Europeia, o acordo é visto como importante para a estabilidade internacional.",487,2.1642403602600098,True,
8a7c69607cf0644ac41f0ba14412b4c9,Governo do Brasil amplia lista de áreas para regularização fundiária de comunidades urbanas em 21 estados,Habitação e Urbanismo,Programas Habitacionais,5592,"O governo federal brasileiro publicou uma nova portaria que eleva para 83 os núcleos informais em terrenos da União aptos a receber título definitivo de propriedade. Estados e municípios têm 15 dias para manifestar interesse em aderir ao programa, que integra o Programa Imóvel da Gente e o Programa Periferia Viva. A iniciativa, com orçamento de R$ 200 milhões, visa regularizar a situação fundiária de 140 mil famílias que vivem em áreas da União, arcando com todos os custos do processo de regularização, desde levantamentos até o registro em cartório.",555,2.4547410011291504,True,
866583e89f6f16445c6441479c0fb152,CMN cria crédito emergencial de R$ 500 milhões para Minas Gerais,Economia e Finanças,Política Econômica,1727,"O governo brasileiro regulamentou uma linha de crédito emergencial de até R$ 500 milhões, utilizando recursos do superávit financeiro do Fundo Social do Pré-Sal, para apoiar a recuperação econômica e social das regiões de Minas Gerais afetadas pelas enchentes. A medida visa acelerar a retomada da atividade produtiva e recompor a capacidade econômica local, com operações realizadas pelo Banco do Brasil e Caixa Econômica Federal, que assumirão integralmente o risco das operações.",482,2.365461826324463,True,
6e00e0ee0bd48c484e9d21c425b3533b,"No Rio, ministérios da Cultura e da Justiça assinam termo de R$ 86 milhões para restauração do Armazém Docas André Rebouças","Cultura, Artes e Patrimônio",Preservação do Patrimônio,5691,"O Armazém Docas André Rebouças, na Pequena África do Rio de Janeiro, será transformado em um complexo cultural voltado à valorização da memória afro-brasileira. O Ministério da Cultura, o Ministério da Justiça e a Fundação Cultural Palmares assinaram um termo de R$ 86 milhões para a restauração e requalificação do prédio, projetado em 1871 pelo engenheiro negro e abolicionista André Rebouças. Após as obras, o local abrigará o Centro de Interpretação do Patrimônio Mundial Cais do Valongo e o Laboratório Aberto de Arqueologia Urbana, reforçando a importância da herança africana e do legado de Rebouças para a construção do Brasil.",635,3.488140106201172,True,
