technique,summary,success,error,latency,summary_length,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,news_id,category,subcategory,agency,original_length
Nova 2 Lite V2,"### RESUMO:

O Instituto Nacional do Seguro Social (INSS) criou uma coordenação específica para fiscalizar e aplicar multas administrativas a cartórios que não informam registros civis ao Sistema Nacional de Informações de Registro Civil (Sirc), seguindo determinação do Tribunal de Contas da União (TCU). Nos últimos cinco anos, o INSS lavrou cerca de 4,4 milhões de autos de infração, e a nova estrutura permitirá a cobrança efetiva das multas, com potencial de arrecadar até R$ 14 bilhões, fortalecendo a governança e a sustentabilidade do sistema previdenciário.",True,,2.0410525798797607,566,0.6060606060606061,0.6741573033707865,0.6382978723404256,0.3979591836734694,0.4431818181818182,0.4193548387096774,0.5555555555555556,0.6179775280898876,0.5851063829787234,35ba53e208af663286aa8409b6508c38,Políticas Públicas e Governança,Gestão Pública,inss,1685
Nova 2 Lite V2,"**RESUMO:**
O Instituto do Patrimônio Histórico e Artístico Nacional (Iphan) investiu R$ 2,56 milhões via Novo PAC para restaurar a Igreja de São Benedito em Antonina, Paraná. As obras, iniciadas em 27 de fevereiro, incluem a requalificação do entorno e devem terminar em outubro de 2026. A Marsou Engenharia executará os trabalhos seguindo diretrizes de preservação, após um estudo arqueológico prévio. O Centro Histórico de Antonina, tombado pelo Iphan em 2012, possui valor histórico e paisagístico, com edificações do período colonial e arquitetura eclética.",True,,1.2922804355621338,562,0.49504950495049505,0.6756756756756757,0.5714285714285714,0.29,0.3972602739726027,0.3352601156069364,0.36633663366336633,0.5,0.4228571428571429,3644236efea439527ee83ebb5b8ec299,"Cultura, Artes e Patrimônio",Preservação do Patrimônio,iphan,2234
Nova 2 Lite V2,"### RESUMO:

No sábado (13 de dezembro), o Governo do Brasil na Rua levará serviços gratuitos de saúde, educação, emprego, cultura e direitos ao Sol Nascente (DF), das 9h às 17h, em frente à Feira do Produtor da Ceilândia. O evento inclui verificações médicas, vacinação, apoio ao MEI, orientação sobre benefícios previdenciários, oficinas culturais, e serviços para pets como vacinação antirrábica e identificação digital. Além disso, serão oferecidas formações profissionais, apoio à educação e acesso a programas como o ID Jovem e o Pé-de-Meia.",True,,1.546905755996704,547,0.4803921568627451,0.532608695652174,0.5051546391752577,0.18811881188118812,0.2087912087912088,0.19791666666666669,0.24509803921568626,0.2717391304347826,0.25773195876288657,df570c78443a519e966331347f1bf530,Saúde,Campanhas de Saúde Pública,secom,5634
Nova 2 Lite V2,"**RESUMO:**

O Ministério da Integração e do Desenvolvimento Regional (MIDR) reafirmou sua adesão ao Pacto Nacional Brasil Contra o Feminicídio, em cerimônia em Brasília, com a assinatura de um ofício que estabelece a equidade de gênero como diretriz para as políticas públicas do ministério. Os ministros Waldez Góes e Márcia Lopes destacaram a importância de ações transversais para prevenir violência de gênero e discriminção contra as mulheres. O MIDR comprometeu-se a implementar medidas concretas, como políticas de contratação inclusivas, paridade de gênero em cargos de liderança e canais de acolhimento para vítimas de violência, reforçando o compromisso com a transformação cultural e a proteção das mulheres em todas as esferas institucionais.",True,,1.4412813186645508,754,0.6258992805755396,0.725,0.6718146718146718,0.4057971014492754,0.47058823529411764,0.43579766536964987,0.4676258992805755,0.5416666666666666,0.5019305019305018,6f4430865ab0b9a24ae02f159449b0fc,Justiça e Direitos Humanos,Políticas Antidiscriminatórias,mdr,6499
Nova 2 Lite V2,"**RESUMO:**

O ministro do Desenvolvimento Agrário e Agricultura Familiar, Paulo Teixeira, participou da mesa de abertura do Encontro Interestadual de Planejamento sobre a Agricultura Familiar em São Paulo. Ele enfatizou o papel crucial da agricultura familiar na alimentação adequada da população brasileira, destacando que ela fornece mais de mil produtos, contra apenas 15 do agronegócio. Teixeira também mencionou o impacto positivo de programas como o Desenrola Rural, que renegociou R$ 20 bilhões para agricultores, e o aumento nas compras da agricultura familiar para o Programa Nacional de Alimentação Escolar, sublinhando a importância de fortalecer a comercialização desses produtos para melhorar a saúde pública e a renda dos trabalhadores rurais.",True,,1.4596583843231201,758,0.6528925619834711,0.7523809523809524,0.6991150442477877,0.44166666666666665,0.5096153846153846,0.4732142857142857,0.4132231404958678,0.47619047619047616,0.44247787610619466,9dba4ecb8873072832c4e2865b4bb01d,"Agricultura, Pecuária e Abastecimento",Agricultura Familiar,mda,2775
Nova 2 Lite V2,"**RESUMO:**

O Brasil é o Destino Internacional Convidado da maior feira de turismo de Portugal, a BTL 2026, em Lisboa, promovendo sua diversidade natural, cultural e gastronômica. O estande brasileiro, representado pela secretária-executiva do Ministério do Turismo, Fernanda Norat, destaca-se com experiências imersivas e área dedicada a negócios. O evento coincide com um aumento significativo de turistas europeus ao Brasil, especialmente de Portugal, que registrou crescimento de 25% em 2025.",True,,1.2311246395111084,497,0.631578947368421,0.4752475247524752,0.5423728813559322,0.3466666666666667,0.26,0.29714285714285715,0.4342105263157895,0.32673267326732675,0.37288135593220345,1ccfc938086e777f6c30ca61c7d62a47,Turismo,Promoção Turística,turismo,3916
Nova 2 Lite V2,"**RESUMO:**
O Congresso Nacional promulgou o acordo provisório de comércio entre o Mercosul e a União Europeia, assinado em janeiro no Paraguai após mais de duas décadas de negociações. O acordo prevê a redução de tarifas para 91% dos produtos importados pelo Mercosul e 95% dos importados pela UE, com efeito imediato para algumas tarifas e escalonado para outras nos próximos anos. O presidente do Senado, Davi Alcolumbre, destacou a importância do acordo para a estabilidade internacional, que abrange um mercado de 718 milhões de pessoas e um PIB de R$ 115 trilhões.",True,,1.437734603881836,570,0.6346153846153846,0.7415730337078652,0.6839378238341969,0.4854368932038835,0.5681818181818182,0.5235602094240839,0.5288461538461539,0.6179775280898876,0.5699481865284974,congresso-nacional-aprova-acordo-entre-mercosul-e-uniao-europeia_897345,Economia e Finanças,Investimentos e Comércio Exterior,tvbrasil,1788
Nova 2 Lite V2,"### RESUMO:

Uma nova portaria eleva para 83 os núcleos informais em terrenos da União aptos a receber título definitivo de propriedade. Essa medida, parte do chamamento público conjunto entre o Programa Imóvel da Gente e o Programa Periferia Viva, conta com um orçamento de R$ 200 milhões para financiar o processo completo de regularização fundiária, garantindo que as famílias se tornem proprietárias legais dos imóveis onde vivem. Estados e municípios têm 15 dias para manifestar interesse na plataforma Transferegov.br, sob risco de substituição das áreas por outros núcleos urbanos. A regularização trará segurança jurídica, acesso a direitos e benefícios sociais para as famílias beneficiadas.",True,,1.6428413391113281,700,0.5634920634920635,0.6826923076923077,0.6173913043478261,0.416,0.5048543689320388,0.45614035087719296,0.40476190476190477,0.49038461538461536,0.4434782608695652,8a7c69607cf0644ac41f0ba14412b4c9,Habitação e Urbanismo,Programas Habitacionais,gestao,5592
Nova 2 Lite V2,"### RESUMO:

O Conselho Monetário Nacional (CMN) regulamentou uma linha emergencial de crédito, utilizando até R$ 500 milhões do superávit do Fundo Social do Pré-Sal, para apoiar a recuperação econômica das regiões de Minas Gerais afetadas por enchentes. As operações serão realizadas pelo Banco do Brasil e pela Caixa Econômica Federal, que assumirão o risco das operações. Os pedidos de financiamento podem ser apresentados até 4 de julho de 2026, com valores máximos variando conforme o perfil do beneficiário.",True,,1.1265227794647217,513,0.6559139784946236,0.7261904761904762,0.6892655367231638,0.4891304347826087,0.5421686746987951,0.5142857142857142,0.6021505376344086,0.6666666666666666,0.632768361581921,866583e89f6f16445c6441479c0fb152,Economia e Finanças,Política Econômica,agencia_brasil,1727
Nova 2 Lite V2,"### RESUMO:

O Ministério da Cultura (MinC), por meio do Iphan e da Fundação Cultural Palmares, e o Ministério da Justiça e Segurança Pública (MPJSP) assinaram um Termo de Execução Descentralizada (TED) para a restauração do Armazém Docas André Rebouças, na Pequena África do Rio de Janeiro. O projeto, financiado com R$ 86 milhões do Fundo de Defesa de Direitos Difusos (FDD), tem previsão de conclusão em 30 meses e visa transformar o prédio em um grande complexo cultural dedicado à valorização da memória afro-brasileira. O local abrigará o Centro de Interpretação do Patrimônio Mundial Cais do Valongo e o Laboratório Aberto de Arqueologia Urbana, promovendo a preservação da herança africana e o legado do engenheiro negro André Rebouças.",True,,1.8470709323883057,744,0.7142857142857143,0.819672131147541,0.7633587786259541,0.5323741007194245,0.6115702479338843,0.5692307692307692,0.42142857142857143,0.48360655737704916,0.45038167938931295,6e00e0ee0bd48c484e9d21c425b3533b,"Cultura, Artes e Patrimônio",Preservação do Patrimônio,cultura,5691
