technique,summary,success,error,latency,summary_length,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,news_id,category,subcategory,agency,original_length
Hybrid Nova Pro V2,"O Instituto Nacional do Seguro Social (INSS) criou, pela primeira vez, uma coordenação específica para fiscalizar e aplicar multas a cartórios que não informam registros civis que afetam a Previdência Social. Essa medida, determinada pelo Tribunal de Contas da União (TCU), visa reforçar o controle sobre a atualização de dados previdenciários. Os cartórios são obrigados por lei a comunicar ao INSS, através do Sistema Nacional de Informações de Registro Civil (Sirc), todos os nascimentos, óbitos, casamentos, averbações e retificações. Nos últimos cinco anos, o INSS emitiu cerca de 4,4 milhões de autos de infração contra cartórios por descumprimento dessa obrigação.",True,,2.7435967922210693,671,0.44166666666666665,0.5955056179775281,0.5071770334928228,0.2605042016806723,0.3522727272727273,0.29951690821256044,0.3416666666666667,0.4606741573033708,0.39234449760765555,35ba53e208af663286aa8409b6508c38,Políticas Públicas e Governança,Gestão Pública,inss,1685
Hybrid Nova Pro V2,"O Instituto do Patrimônio Histórico e Artístico Nacional (Iphan) investiu R$ 2,56 milhões via Novo PAC para restaurar a Igreja de São Benedito em Antonina (PR), cujo centro histórico é tombado desde 2012. As obras, iniciadas em 27/02 e com término previsto para outubro, incluem a requalificação do entorno e são executadas pela Marsou Engenharia, seguindo diretrizes de preservação. Um estudo arqueológico foi realizado antes das intervenções.",True,,2.1102993488311768,444,0.65,0.7027027027027027,0.6753246753246753,0.45569620253164556,0.4931506849315068,0.47368421052631576,0.5375,0.581081081081081,0.5584415584415584,3644236efea439527ee83ebb5b8ec299,"Cultura, Artes e Patrimônio",Preservação do Patrimônio,iphan,2234
Hybrid Nova Pro V2,"Neste sábado (13), o Governo do Brasil na Rua levará serviços e atendimentos gratuitos ao Sol Nascente (DF), incluindo saúde, reforma e construção. Na área de saúde, haverá verificação de pressão arterial, avaliação de peso e altura, cálculo do IMC, exame de bioimpedância e orientações sobre alimentação saudável. Para reformas, a Carreta Reforma Casa Brasil estará disponível para famílias que desejam melhorar suas residências.",True,,1.4306728839874268,430,0.55,0.4782608695652174,0.5116279069767442,0.25316455696202533,0.21978021978021978,0.23529411764705882,0.3125,0.2717391304347826,0.29069767441860467,df570c78443a519e966331347f1bf530,Saúde,Campanhas de Saúde Pública,secom,5634
Hybrid Nova Pro V2,"O Ministério da Integração e do Desenvolvimento Regional (MIDR) reafirmou seu compromisso com a proteção das mulheres ao aderir ao Pacto Nacional Brasil Contra o Feminicídio, durante cerimônia em Brasília. O pacto, lançado pelo presidente Luiz Inácio Lula da Silva, une os três Poderes da República para implementar ações governamentais que combatam discriminação, misoginia e violência de gênero. O ministro Waldez Góes destacou a necessidade de homens gestores do Governo Federal se engajarem nessa luta.",True,,1.5520310401916504,506,0.5666666666666667,0.425,0.48571428571428565,0.3707865168539326,0.2773109243697479,0.3173076923076923,0.4111111111111111,0.30833333333333335,0.3523809523809524,6f4430865ab0b9a24ae02f159449b0fc,Justiça e Direitos Humanos,Políticas Antidiscriminatórias,mdr,6499
Hybrid Nova Pro V2,"O ministro do Desenvolvimento Agrário e Agricultura Familiar, Paulo Teixeira, participou da mesa de abertura do Encontro Interestadual de Planejamento, realizado na CONAB em São Paulo, onde discutiu novas políticas públicas de comercialização da agricultura familiar. Durante o evento, Teixeira destacou a importância da agricultura familiar no fornecimento de mais de mil produtos para o cardápio brasileiro, em contraste com os 15 produtos fornecidos pelo agronegócio. A mesa contou também com a participação de Rafael Scarazzati, do IFSP, e Wellington Diniz, da CONAB.",True,,1.7679591178894043,571,0.6344086021505376,0.5619047619047619,0.5959595959595959,0.3695652173913043,0.3269230769230769,0.346938775510204,0.4946236559139785,0.4380952380952381,0.46464646464646464,9dba4ecb8873072832c4e2865b4bb01d,"Agricultura, Pecuária e Abastecimento",Agricultura Familiar,mda,2775
Hybrid Nova Pro V2,"O Brasil, como Destino Internacional Convidado, participa da ""Better Tourism Lisbon Travel"" (BTL 2026), o maior evento turístico de Portugal, que começou nesta quarta-feira (25.02) em Lisboa. O estande brasileiro, representado pela secretária-executiva do Ministério do Turismo, Fernanda Norat, promove a diversidade natural, cultural e gastronômica do país através de um conceito imersivo e sensorial. O estande também é palco de ações institucionais, ativações artísticas e gastronômicas, além de uma área dedicada a negócios.",True,,1.8443841934204102,528,0.5222222222222223,0.46534653465346537,0.49214659685863876,0.2808988764044944,0.25,0.26455026455026454,0.26666666666666666,0.2376237623762376,0.25130890052356025,1ccfc938086e777f6c30ca61c7d62a47,Turismo,Promoção Turística,turismo,3916
Hybrid Nova Pro V2,"O Congresso Nacional promulgou o acordo provisório de comércio entre o Mercosul e a União Europeia, assinado em janeiro após mais de duas décadas de negociações. As novas regras devem entrar em vigor em até 60 dias, prevendo a redução de tarifas para 91% dos produtos importados pelo Mercosul e 95% dos produtos importados pela União Europeia. O acordo abrange um mercado de 718 milhões de pessoas e um PIB de R$ 115 trilhões. O presidente do Senado e do Congresso Nacional, Davi Alcolumbre, enfatizou a importância do acordo para a estabilidade internacional.",True,,2.0530011653900146,560,0.6442307692307693,0.7528089887640449,0.694300518134715,0.5242718446601942,0.6136363636363636,0.5654450261780105,0.5576923076923077,0.651685393258427,0.6010362694300518,congresso-nacional-aprova-acordo-entre-mercosul-e-uniao-europeia_897345,Economia e Finanças,Investimentos e Comércio Exterior,tvbrasil,1788
Hybrid Nova Pro V2,"Uma nova portaria aumentou para 83 o número de núcleos informais em terrenos da União aptos a receber título definitivo de propriedade. Estados e municípios têm 15 dias para manifestar interesse. A iniciativa, com orçamento de R$ 200 milhões, é uma parceria entre o Programa Imóvel da Gente e o Programa Periferia Viva, visando financiar todo o processo de regularização fundiária. A portaria lista os núcleos elegíveis, que incluem diversas comunidades aguardando regularização há décadas.",True,,1.6445138454437256,490,0.7528089887640449,0.6442307692307693,0.694300518134715,0.6136363636363636,0.5242718446601942,0.5654450261780105,0.5730337078651685,0.49038461538461536,0.5284974093264249,8a7c69607cf0644ac41f0ba14412b4c9,Habitação e Urbanismo,Programas Habitacionais,gestao,5592
Hybrid Nova Pro V2,"O Conselho Monetário Nacional (CMN) regulamentou uma linha emergencial de crédito com recursos do pré-sal para pessoas físicas e empresas afetadas pelas enchentes em Minas Gerais. A medida autoriza o uso de até R$ 500 milhões do Fundo Social do Pré-Sal para apoiar a recuperação econômica e social das regiões atingidas. As operações serão conduzidas pelo Banco do Brasil e pela Caixa Econômica Federal, que atuarão como agentes financeiros e assumirão o risco das operações.",True,,1.2322335243225098,475,0.7,0.75,0.7241379310344827,0.5168539325842697,0.5542168674698795,0.5348837209302325,0.5555555555555556,0.5952380952380952,0.574712643678161,866583e89f6f16445c6441479c0fb152,Economia e Finanças,Política Econômica,agencia_brasil,1727
Hybrid Nova Pro V2,"O Armazém Docas André Rebouças, um marco da memória afro-brasileira no Rio de Janeiro, será transformado em um grande complexo cultural dedicado à valorização da população negra. O Ministério da Cultura (MinC), por meio do Iphan e da Fundação Cultural Palmares (FCP), junto com o Ministério da Justiça e Segurança Pública (MPJSP), assinaram um Termo de Execução Descentralizada (TED) para a restauração e requalificação do imóvel. A ministra da Cultura, Margareth Menezes, ressaltou a importância de resgatar as memórias e celebrar a resistência negra no Brasil.",True,,1.2313098907470703,562,0.6346153846153846,0.5409836065573771,0.5840707964601771,0.42718446601941745,0.36363636363636365,0.39285714285714285,0.49038461538461536,0.4180327868852459,0.4513274336283186,6e00e0ee0bd48c484e9d21c425b3533b,"Cultura, Artes e Patrimônio",Preservação do Patrimônio,cultura,5691
