technique,summary,success,error,latency,summary_length,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,news_id,original_length
Nova 2 Lite V1,"### Resumo da Notícia

O Ministério da Educação lançou o **Compromisso Nacional Toda a Matemática**, um programa voluntário para escolas brasileiras, que ocorre em **duas etapas**. As escolas interessadas têm até **esta sexta-feira (13)** para se inscrever e garantir o apoio financeiro destinado ao **fortalecimento do ensino de matemática**. O objetivo é melhorar a qualidade do ensino da disciplina nas escolas participantes.",True,,2.622849225997925,428,0.5652173913043478,0.5571428571428572,0.5611510791366906,0.3088235294117647,0.30434782608695654,0.30656934306569344,0.391304347826087,0.38571428571428573,0.38848920863309355,doc_11_39_syn_extract_first_6344,426
Nova 2 Lite V1,"### Resumo:

O ano de 2025 registrou um **aumento de 3,4%** no número total de participantes regulados pela CVM, atingindo **92.818** pessoas e entidades registradas. O setor de **consultores de valores mobiliários** foi o que mais cresceu, com **27,3%** de aumento, totalizando **2.635** profissionais registrados. O mercado de capitais brasileiro segue em expansão, com maior diversidade de instrumentos financeiros e aumento da competitividade.",True,,1.1484155654907227,447,0.6231884057971014,0.671875,0.6466165413533834,0.3088235294117647,0.3333333333333333,0.3206106870229008,0.391304347826087,0.421875,0.406015037593985,doc_09_01_syn_short_9779,1091
Nova 2 Lite V1,"O Ministério da Cultura (MinC) orienta todos os candidatos a consultarem antecipadamente sua regularidade jurídica, fiscal e tributária. Estar em débito com a União impede o recebimento de recursos públicos, por isso é necessário regularizar pendências em sistemas como Cadin, CND, Certificado de Regularidade do FGTS, Salic, Cepim, Ceis e Sicaf. A verificação prévia desses requisitos é essencial para garantir o acesso aos recursos governamentais.",True,,1.226958990097046,449,0.7123287671232876,0.8125,0.7591240875912408,0.5,0.5714285714285714,0.5333333333333333,0.6027397260273972,0.6875,0.6423357664233577,doc_07_12_syn_extract_middle_7735,809
Nova 2 Lite V1,"O Instituto Butantan foi criado para proteger a população e, com os investimentos do governo do presidente Lula, está se consolidando como um dos principais pilares da produção nacional de vacinas e da segurança sanitária do país, projetando-se para um futuro de destaque nesse setor.",True,,0.9125919342041016,284,0.7647058823529411,0.8863636363636364,0.8210526315789474,0.58,0.6744186046511628,0.6236559139784946,0.6666666666666666,0.7727272727272727,0.7157894736842105,doc_17_14_syn_extract_middle_5272,267
Nova 2 Lite V1,"A ferramenta tem como objetivo orientar a população sobre as medidas de proteção necessárias diante de riscos iminentes, fornecendo alertas com informações claras e instruções práticas. A definição do conteúdo e do momento adequado para os alertas fica a cargo dos órgãos locais de proteção e defesa civil. A operacionalização desses alertas é feita por meio da Interface de Divulgação de Alertas Públicos (Idap).",True,,1.070448875427246,413,0.7236842105263158,0.6962025316455697,0.7096774193548387,0.48,0.46153846153846156,0.47058823529411764,0.5789473684210527,0.5569620253164557,0.567741935483871,doc_19_05_syn_extract_middle_6325,421
Nova 2 Lite V1,"### Resumo da Notícia

A Operação Shadowgun, deflagrada em 12 de março, resultou na prisão de suspeitos e busca em 12 estados, com apoio da ABIN para investigar a produção de armas por impressoras 3D, especialmente a arma Urutau. A Urutau é uma arma híbrida semiautomática ou automática, desenvolvida sem necessidade de soldagem e com componentes não controlados, representando um avanço técnico significativo. A ABIN contribuiu com análise de riscos, identificação de envolvidos e subsídios para medidas de prevenção e neutralização das ameaças relacionadas ao uso de armas 3D por grupos extremistas.",True,,1.390951156616211,601,0.4485981308411215,0.5853658536585366,0.507936507936508,0.16981132075471697,0.2222222222222222,0.19251336898395724,0.2803738317757009,0.36585365853658536,0.3174603174603175,doc_19_38,1958
Nova 2 Lite V1,"### Resumo:

O evento reuniu representantes de 18 entidades de 12 estados e avançou na implementação de sete ações do PAN com baixa execução. Foram identificadas estratégias para alcançar os objetivos do PAN e definidos planos operacionais estaduais para isso. Além disso, foi criada e consolidada uma rede de colaboração entre as OEMAs participantes.",True,,0.870781660079956,351,0.6557377049180327,0.38461538461538464,0.48484848484848486,0.3333333333333333,0.1941747572815534,0.24539877300613497,0.5573770491803278,0.3269230769230769,0.4121212121212121,doc_15_07_syn_extract_middle_7046,557
Nova 2 Lite V1,"### Resumo:

Estão abertas as inscrições para as Olímpiadas Nucleares da América Latina - Hackapower LATAM 2026, competição acadêmica internacional voltada para estudantes de pós-graduação, com foco em estimular inovação, gestão em projetos complexos e colaboração no setor nuclear. A edição de 2026 terá como tema central o radioteranóstico, abordagem da medicina nuclear que combina diagnóstico e tratamento por meio de radiofármacos, respondendo à crescente demanda por soluções eficientes para doenças oncológicas na região. O evento busca promover a ciência e a tecnologia em alinhamento com os Objetivos de Desenvolvimento Sustentável da ONU.",True,,1.4685938358306885,648,0.6875,0.6363636363636364,0.6609442060085837,0.4144144144144144,0.38333333333333336,0.3982683982683983,0.5178571428571429,0.4793388429752066,0.4978540772532189,doc_11_13_syn_short_1964,1445
Nova 2 Lite V1,"### Resumo da Notícia

O governo brasileiro lançou um novo conteúdo no aplicativo SST Fácil que transforma a norma internacional ISO 45001 de saúde e segurança do trabalho em aprendizado prático, acessível e gratuito. A ferramenta aproxima as empresas e trabalhadores das exigências da norma, facilitando a implementação no dia a dia. O recurso está disponível no portal do Fundacentro e tem como objetivo promover a melhoria contínua nas condições de trabalho.",True,,1.0254616737365723,461,0.5595238095238095,0.746031746031746,0.6394557823129251,0.30120481927710846,0.4032258064516129,0.3448275862068965,0.38095238095238093,0.5079365079365079,0.43537414965986393,doc_17_07_syn_extract_first_1009,375
Nova 2 Lite V1,"A Embraer realizou o primeiro voo de uma aeronave elétrica de decolagem e pouso vertical (VTOL), marcando o início de uma fase de testes e validações técnicas. O Ministério da Infraestrutura está preparando o sistema aéreo brasileiro para integrar essa nova tecnologia. O voo inaugural representa um avanço importante no desenvolvimento de aviões elétricos para operações urbanas e de última milha.",True,,1.0371205806732178,398,0.5915492957746479,0.6774193548387096,0.631578947368421,0.4,0.45901639344262296,0.4274809160305344,0.4788732394366197,0.5483870967741935,0.5112781954887218,doc_05_06_syn_extract_first_1525,495
Nova 2 Lite V1,"### Resumo da Notícia

O Plano Clima, aprovado após processo participativo com apoio da Funai, estabelece ações específicas para proteger e promover os direitos dos povos indígenas no contexto das mudanças climáticas. O documento foi construído com a contribuição direta de representantes indígenas e visa garantir a preservação territorial, cultural e ambiental dessas comunidades. A aprovação reforça o compromisso do governo brasileiro em integrar a perspectiva indígena nas políticas de adaptação e mitigação às mudanças climáticas.",True,,1.3356831073760986,536,0.5425531914893617,0.5,0.5204081632653061,0.1935483870967742,0.1782178217821782,0.18556701030927836,0.2872340425531915,0.2647058823529412,0.2755102040816327,doc_15_10_syn_extract_first_7797,273
Nova 2 Lite V1,"### Resumo da Notícia

O Governo do Brasil está promovendo um diálogo envolvendo professores, mestres e jovens com o objetivo de construir uma educação antirracista no país. A iniciativa busca reunir diferentes grupos para discutir e desenvolver estratégias que combatam as desigualdades raciais no sistema educacional. O programa é parte de um esforço maior para promover a igualdade racial e incluir perspectivas afro-brasileiras no ensino.",True,,1.118755578994751,442,0.5428571428571428,0.5352112676056338,0.5390070921985815,0.2608695652173913,0.2571428571428571,0.2589928057553956,0.4,0.39436619718309857,0.3971631205673759,doc_11_03_syn_extract_first_5853,405
Nova 2 Lite V1,"### Resumo:

Em um ano de operação, a plataforma **Contrata+Brasil**, gerenciada pelo Ministério da Gestão e da Inovação em Serviços Públicos, gerou **R$ 13,7 milhões** em renda direta para microempreendedores individuais (MEIs) por meio de contratações públicas.  
A plataforma conectou **cerca de 8,1 mil MEIs** a **mais de 1,3 mil órgãos públicos** em todo o país, facilitando o acesso de pequenos negócios ao mercado de compras governamentais.  
Desde seu lançamento em fevereiro de 2025, o sistema já registrou a contratação de **mais de 2,4 mil serviços** por esses órgãos públicos.",True,,1.238981008529663,588,0.6964285714285714,0.8863636363636364,0.7799999999999999,0.5765765765765766,0.735632183908046,0.6464646464646465,0.4375,0.5568181818181818,0.49,doc_01_17_syn_short_4502,1004
Nova 2 Lite V1,"### Resumo da Notícia

Cientistas de cinco países e especialistas indígenas apresentaram, nesta quinta-feira (27), o livro e vídeo do **“Inventário Rápido Biológico e Social do Alto Rio Içá #33”**, fruto de uma expedição científica realizada em maio de 2025. Durante 25 dias, a equipe estudou uma região remota do extremo oeste do Amazonas, pouco documentada até então. O material produzido inclui dados sobre geologia, flora, vegetação e a catalogação de peixes, anfíbios, répteis, aves e mamíferos da área.",True,,1.1267530918121338,508,0.5578947368421052,0.654320987654321,0.6022727272727273,0.3829787234042553,0.45,0.4137931034482758,0.4421052631578947,0.5185185185185185,0.4772727272727273,doc_15_22_syn_short_8939,1088
